Itemid,Description,Price
1243,Spice - Montreal Steak Spice,68
1244,Tea - Vanilla Chai,87
1245,Rye Special Old,41
1246,Cape Capensis - Fillet,36
1247,"Crab - Claws, Snow 16 - 24",87
1248,Cheese - Grana Padano,13
1249,Glove - Cutting,54
1250,Creme De Cacao White,10
1251,Tomato - Plum With Basil,9
1252,"Beef - Tenderlion, Center Cut",45
1253,"Trout - Rainbow, Fresh",100
1254,Chutney Sauce,89
1255,Capers - Pickled,15
1256,Muffin Mix - Raisin Bran,12
1257,Sauce - Rosee,89
1258,"Yogurt - Cherry, 175 Gr",33
1259,Soup - Campbells Mac N Cheese,32
1260,"Salsify, Organic",52
1261,"Pasta - Tortellini, Fresh",32
1262,Cheese - Wine,80
1263,Spinach - Frozen,85
1264,Lettuce - Curly Endive,17
1265,Cheese - Bocconcini,92
1266,"Pork - Bacon, Sliced",72
1267,Wine - Wyndham Estate Bin 777,29
1268,Bread - Sour Sticks With Onion,72
1269,Wine - Chianti Classico Riserva,53
1270,Wine - Savigny - Les - Beaune,86
1271,Wine - Pinot Noir Latour,45
1272,Mustard - Seed,77
1273,Cheese - Cheddarsliced,80
1274,Chinese Foods - Chicken,38
1275,Wine - Baron De Rothschild,94
1276,Beans - French,20
1277,Huck Towels White,1
1278,Appetizer - Cheese Bites,93
1279,Sauce - Marinara,74
1280,Bamboo Shoots - Sliced,6
1281,Wine - Tio Pepe Sherry Fino,22
1282,Seabream Whole Farmed,80
1283,"Quail - Eggs, Fresh",5
1284,Heavy Duty Dust Pan,69
1285,Ice Cream - Life Savers,88
1286,Wine - Ej Gallo Sierra Valley,63
1287,Water - Aquafina Vitamin,48
1288,French Kiss Vanilla,21
1289,Beef - Tenderloin - Aa,32
1290,Beets - Mini Golden,54
1291,Onion - Dried,70
1292,External Supplier,2
1293,Corn Shoots,72
1294,Grapes - Green,81
1295,Chicken Breast Wing On,84
1296,Beans - Kidney White,68
1297,Flower - Dish Garden,74
1298,"Ham - Smoked, Bone - In",17
1299,Water - Evian 355 Ml,24
1300,Cookies - Englishbay Wht,51
1301,Phyllo Dough,73
1302,Nantucket - Carrot Orange,58
1303,Lid - 3oz Med Rec,31
1304,Cheese - Montery Jack,33
1305,Relish,32
1306,Calvados - Boulard,33
1307,Beer - Paulaner Hefeweisse,10
1308,Wine - Savigny - Les - Beaune,10
1309,Rice - Aborio,34
1310,Table Cloth 90x90 White,51
1311,Water - Tonic,51
1312,Rice - Long Grain,65
1313,Wine - Jackson Triggs Okonagan,18
1314,Eggroll,55
1315,Sage - Ground,75
1316,Bar Mix - Lime,13
1317,Soup Campbells - Italian Wedding,79
1318,"Oil - Truffle, Black",72
1319,Icecream - Dstk Super Cone,90
1320,Apple - Macintosh,60
1321,Sage - Rubbed,79
1322,Soup - Campbells Chili Veg,14
1323,Wanton Wrap,28
1324,Cheese Cloth No 100,18
1325,Ice Cream Bar - Oreo Cone,41
1326,Beer - Molson Excel,56
1327,Beans - Fine,58
1328,Pate Pans Yellow,38
1329,Soup - Campbells Asian Noodle,90
1330,"Pork - Back, Short Cut, Boneless",64
1331,Longos - Chicken Curried,2
1332,Waffle Stix,81
1333,Veal - Sweetbread,12
1334,Onions - Vidalia,85
1335,Tomato - Tricolor Cherry,4
1336,"Wine - Red, Harrow Estates, Cab",26
1337,Toothpick Frilled,7
1338,Dill Weed - Dry,89
1339,Bandage - Flexible Neon,44
1340,"Beef - Tongue, Fresh",7
1341,Wine - Barolo Fontanafredda,70
1342,"Pasta - Tortellini, Fresh",24
1343,Beef - Kobe Striploin,97
1344,Dried Cranberries,48
1345,Monkfish - Fresh,16
1346,Veal Inside - Provimi,97
1347,Cod - Black Whole Fillet,4
1348,Pear - Packum,57
1349,"Wine - Niagara,vqa Reisling",62
1350,Bread - Triangle White,79
1351,Pastry - Carrot Muffin - Mini,28
1352,Bread - French Baquette,96
1353,Wine - Magnotta - Bel Paese White,95
1354,Lumpfish Black,99
1355,Bread Base - Gold Formel,16
1356,Carrots - Mini Red Organic,70
1357,Muffin Hinge 117n,38
1358,Wine - Rosso Toscano Igt,96
1359,Buttons,56
1360,Ginger - Crystalized,17
1361,Tomatoes - Grape,32
1362,"Pork - Loin, Bone - In",75
1363,Wine - Magnotta - Pinot Gris Sr,94
1364,Appetizer - Shrimp Puff,91
1365,Nantucket - Carrot Orange,73
1366,"Pasta - Fett Alfredo, Single Serve",93
1367,Lettuce - Arugula,38
1368,Sprite - 355 Ml,9
1369,Beer - Heinekin,91
1370,Breadfruit,53
1371,Pumpkin - Seed,2
1372,"Tortillas - Flour, 12",85
1373,Nori Sea Weed,91
1374,Kahlua,60
1375,Muffins - Assorted,32
1376,Duck - Fat,16
1377,Wine - Jackson Triggs Okonagan,49
1378,Steampan Lid,72
1379,Food Colouring - Red,29
1380,Beer - Camerons Auburn,28
1381,Pepper - Sorrano,62
1382,Laundry - Bag Cloth,54
1383,Tuna - Loin,98
1384,Ham - Procutinni,85
1385,"Pork - Loin, Center Cut",19
1386,Smirnoff Green Apple Twist,9
1387,Muffin Batt - Carrot Spice,33
1388,Beer - Blue,66
1389,Cheese - Colby,90
1390,Compound - Orange,12
1391,Lettuce - Lambs Mash,76
1392,Chicken - Whole,94
1393,Wine - Stoneliegh Sauvignon,6
1394,Wine - Rosso Toscano Igt,14
1395,Bacardi Raspberry,36
1396,"Beef - Ground, Extra Lean, Fresh",68
1397,Pail With Metal Handle 16l White,63
1398,Wine - Fat Bastard Merlot,48
1399,Energy Drink - Redbull 355ml,68
1400,Cheese - Provolone,69
1401,Tomatoes - Cherry,79
1402,Soup Campbells - Italian Wedding,91
1403,Soup - Verve - Chipotle Chicken,53
1404,Sea Bass - Fillets,16
1405,Table Cloth 54x72 Colour,54
1406,Monkfish - Fresh,65
1407,Parsley - Dried,100
1408,Coffee - Dark Roast,46
1409,Cheese - Parmesan Grated,36
1410,Wine - Chateau Timberlay,81
1411,Cheese - Parmigiano Reggiano,24
1412,Sauce - Vodka Blush,15
1413,"Carrots - Purple, Organic",38
1414,Beef Tenderloin Aaa,14
1415,Puree - Pear,60
1416,Gatorade - Xfactor Berry,76
1417,"Ranchero - Primerba, Paste",97
1418,Sage Derby,92
1419,Appetizer - Mango Chevre,97
1420,"Nut - Pistachio, Shelled",41
1421,Apple - Custard,54
1422,Table Cloth - 53x69 Colour,74
1423,"Mushroom - Enoki, Dry",4
1424,Phyllo Dough,46
1425,Wine - Savigny - Les - Beaune,92
1426,"Pasta - Fusili, Dry",79
1427,Chutney Sauce - Mango,51
1428,"Pepper - Julienne, Frozen",5
1429,Red Currants,13
1430,Silicone Paper 16.5x24,72
1431,"Ecolab - Orange Frc, Cleaner",96
1432,Flour - Bread,7
1433,Pepper - Scotch Bonnet,46
1434,"Soup - Canadian Pea, Dry Mix",42
1435,"Pasta - Rotini, Colour, Dry",4
1436,Cheese - Brick With Onion,46
1437,"Soup - Knorr, Country Bean",100
1438,Olives - Kalamata,79
1439,Horseradish Root,63
1440,Tomatoes - Yellow Hot House,67
1441,Tomatoes - Orange,11
1442,Kippers - Smoked,45
1443,Lidsoupcont Rp12dn,78
1444,Pasta - Agnolotti - Butternut,38
1445,Mushroom - Crimini,88
1446,"Wine - Red, Lurton Merlot De",74
1447,"Juice - Apple, 500 Ml",51
1448,Salt And Pepper Mix - Black,83
1449,Cheese - Brie,50
1450,Duck - Whole,79
1451,True - Vue Containers,68
1452,Cheese - Mix,17
1453,Galliano,69
1454,"Dill - Primerba, Paste",88
1455,Longos - Lasagna Veg,25
1456,"Jam - Raspberry,jar",36
1457,"Lemonade - Strawberry, 591 Ml",25
1458,"Water - Mineral, Natural",21
1459,Sour Puss Raspberry,8
1460,Magnotta Bel Paese Red,5
1461,Potatoes - Fingerling 4 Oz,5
1462,Bread Roll Foccacia,16
1463,"Salmon - Whole, 4 - 6 Pounds",23
1464,Bok Choy - Baby,1
1465,Muffin Mix - Carrot,88
1466,Oil - Cooking Spray,27
1467,Longos - Lasagna Veg,13
1468,Strawberries,95
1469,Salmon Atl.whole 8 - 10 Lb,27
1470,Lid - 16 Oz And 32 Oz,33
1471,"Wine - White, Mosel Gold",14
1472,Sauce - Fish 25 Ozf Bottle,23
1473,"Juice - Grapefruit, 341 Ml",66
1474,Chicken - Leg / Back Attach,64
1475,Icecream - Dstk Super Cone,70
1476,Gelatine Leaves - Envelopes,29
1477,Tofu - Firm,95
1478,Muffin - Banana Nut Individual,58
1479,Veal - Provimi Inside,92
1480,"Bread - Bagels, Mini",93
1481,"Cheese - Brie, Cups 125g",59
1482,Hummus - Spread,85
1483,"Shrimp - Baby, Warm Water",50
1484,Veal - Loin,9
1485,Pork - Back Ribs,79
1486,Ice Cream Bar - Oreo Sandwich,66
1487,"Soup - Clam Chowder, Dry Mix",9
1488,Gatorade - Xfactor Berry,77
1489,Kolrabi,31
1490,Shrimp - 31/40,25
1491,Cheese - Parmigiano Reggiano,68
1492,Tea - Lemon Scented,91
1493,"Wine - Red, Colio Cabernet",81
1494,Pail With Metal Handle 16l White,56
1495,Beer - Blue Light,10
1496,Salmon - Canned,10
1497,Puree - Guava,42
1498,"Chilli Paste, Sambal Oelek",48
1499,Eggroll,12
1500,Bread Sour Rolls,41
1501,Apple - Fuji,23
1502,Lamb - Sausage Casings,6
1503,Muffin - Mix - Mango Sour Cherry,97
1504,Vinegar - Cider,72
1505,Wine - Shiraz South Eastern,22
1506,Muffin Batt - Choc Chk,43
1507,Mustard - Dijon,96
1508,Tomatoes - Orange,95
1509,"Nut - Almond, Blanched, Whole",42
1510,Sauce Bbq Smokey,13
1511,Flour - Teff,23
1512,Chinese Foods - Chicken,50
1513,Cake - Miini Cheesecake Cherry,13
1514,Parsnip,38
1515,"Sauce - Black Current, Dry Mix",13
1516,Cheese - Valancey,87
1517,Arrowroot,5
1518,Raspberries - Frozen,93
1519,Sole - Iqf,95
1520,Sobe - Lizard Fuel,67
1521,Pea - Snow,67
1522,Salt And Pepper Mix - Black,51
1523,Pork - Liver,12
1524,Bacardi Raspberry,7
1525,Bowl 12 Oz - Showcase 92012,44
1526,Mix - Cocktail Strawberry Daiquiri,15
1527,Ecolab - Solid Fusion,96
1528,Sauce - Balsamic Viniagrette,52
1529,Salmon - Sockeye Raw,61
1530,Oil - Olive Bertolli,36
1531,Nut - Pumpkin Seeds,61
1532,"Wine - Red, Metus Rose",97
1533,"Lamb - Racks, Frenched",13
1534,Wine - Acient Coast Caberne,46
1535,Ocean Spray - Ruby Red,40
1536,Wine - Valpolicella Masi,46
1537,Thermometer Digital,33
1538,Banana,81
1539,Wine - Casillero Deldiablo,53
1540,"Crush - Grape, 355 Ml",54
1541,"Tea - Darjeeling, Azzura",78
1542,Piping Jelly - All Colours,44
1543,"Nut - Almond, Blanched, Ground",94
1544,Lamb Tenderloin Nz Fr,81
1545,Clam - Cherrystone,6
1546,"Lamb - Racks, Frenched",80
1547,Sauce - Hollandaise,51
1548,Calvados - Boulard,66
1549,Soup - Campbells Beef Strogonoff,98
1550,Browning Caramel Glace,36
1551,Spice - Paprika,18
1552,Soup - Campbells Mac N Cheese,82
1553,"Pasta - Shells, Medium, Dry",52
1554,Pumpkin - Seed,75
1555,Tea - Camomele,32
1556,Squid - U 5,32
1557,Scallops - In Shell,42
1558,Cream - 35%,34
1559,Wine - Periguita Fonseca,42
1560,"Juice - Tomato, 48 Oz",22
1561,Cookie Trail Mix,86
1562,Pernod,57
1563,Island Oasis - Cappucino Mix,31
1564,Watercress,97
1565,Cheese - Le Cheve Noir,93
1566,Vaccum Bag - 14x20,17
1567,"Tuna - Canned, Flaked, Light",56
1568,Cabbage - Savoy,96
1569,Beer - True North Lager,98
1570,Cardamon Ground,53
1571,"Cheese - Brie, Cups 125g",44
1572,Spice - Greek 1 Step,30
1573,Flour - So Mix Cake White,61
1574,Devonshire Cream,24
1575,Sobe - Green Tea,16
1576,Truffle Paste,57
1577,Wine - Rubyport,66
1578,Rice - Basmati,57
1579,Huck Towels White,89
1580,Energy Drink Bawls,19
1581,Eggplant Italian,22
1582,Whmis - Spray Bottle Trigger,8
1583,Avocado,65
1584,"Wine - Red, Cooking",85
1585,"Apple - Delicious, Red",61
1586,"Corn - Cream, Canned",60
1587,Flour - Strong,14
1588,Lettuce - Frisee,9
1589,Pickle - Dill,47
1590,Icecream - Dstk Super Cone,95
1591,Wheat - Soft Kernal Of Wheat,69
1592,"Syrup - Monin, Swiss Choclate",96
1593,Beef - Salted,3
1594,"Cheese - Brie,danish",35
1595,Sugar - Splenda Sweetener,40
1596,Wine - Blue Nun Qualitatswein,14
1597,Pears - Fiorelle,36
1598,Swiss Chard,56
1599,Chickhen - Chicken Phyllo,93
1600,Rabbit - Frozen,44
1601,Bouq All Italian - Primerba,87
1602,Carbonated Water - Peach,7
1603,Tea Peppermint,72
1604,"Cheese - Mozzarella, Shredded",41
1605,Dc Hikiage Hira Huba,27
1606,Muffin Batt - Ban Dream Zero,15
1607,Beef - Short Ribs,81
1608,Turnip - Wax,39
1609,Pears - Anjou,79
1610,"Nut - Pecan, Halves",55
1611,Urban Zen Drinks,82
1612,"Beer - Alexander Kieths, Pale Ale",36
1613,Soup - Base Broth Beef,99
1614,Chef Hat 25cm,10
1615,Corn - On The Cob,13
1616,Garbag Bags - Black,74
1617,Crackers - Water,15
1618,Anchovy Fillets,29
1619,"Bread - Bagels, Plain",78
1620,Spice - Montreal Steak Spice,49
1621,"Soup - Knorr, Chicken Gumbo",11
1622,"Beans - Black Bean, Dry",57
1623,"Shrimp, Dried, Small / Lb",100
1624,Beef - Tenderloin,9
1625,Sour Puss Sour Apple,1
1626,Eel Fresh,14
1627,Soup - Base Broth Beef,12
1628,"Fish - Halibut, Cold Smoked",33
1629,Onions - Pearl,10
1630,Cookie - Oatmeal,51
1631,"Juice - Clam, 46 Oz",11
1632,Turnip - Wax,72
1633,Glove - Cutting,22
1634,Soup - Campbells Beef Noodle,15
1635,Oven Mitts 17 Inch,36
1636,Tea - Lemon Green Tea,38
1637,Sprouts - China Rose,12
1638,"Chicken - Base, Ultimate",12
1639,Absolut Citron,28
1640,Meldea Green Tea Liquor,71
1641,Cod - Black Whole Fillet,42
1642,Apple - Granny Smith,84
1643,Pepper - Green Thai,29
1644,Table Cloth 54x54 White,36
1645,Lettuce - Sea / Sea Asparagus,50
1646,"Tray - Foam, Square 4 - S",39
1647,Pork Casing,64
1648,"Bread - Pullman, Sliced",7
1649,Yucca,63
1650,"Veal - Insides, Grains",3
1651,Pork - Smoked Back Bacon,98
1652,Grenadillo,16
1653,"Cookies - Oreo, 4 Pack",99
1654,Hand Towel,67
1655,Tarragon - Fresh,12
1656,Sauce - Soy Low Sodium - 3.87l,57
1657,Langers - Cranberry Cocktail,40
1658,Mangoes,61
1659,Table Cloth 120 Round White,3
1660,Plums - Red,97
1661,Wine - Alsace Gewurztraminer,81
1662,Pate - Liver,4
1663,Corn Shoots,42
1664,Compound - Pear,100
1665,"Mushroom - Chantrelle, Fresh",55
1666,Triple Sec - Mcguinness,73
1667,"Juice - Cranberry, 341 Ml",84
1668,Sauce - Sesame Thai Dressing,75
1669,Bay Leaf,22
1670,Wine - Touraine Azay - Le - Rideau,96
1671,Chicken - Leg / Back Attach,91
1672,Ham - Proscuitto,99
1673,Sugar - Crumb,98
1674,Beer - Corona,48
1675,Kippers - Smoked,23
1676,Quiche Assorted,90
1677,Yoghurt Tubes,46
1678,Beans - French,17
1679,Wine - Two Oceans Cabernet,34
1680,Raisin - Golden,31
1681,Wine - Barolo Fontanafredda,17
1682,Ginger - Fresh,3
1683,Wine - Valpolicella Masi,72
1684,Oats Large Flake,94
1685,Garam Masala Powder,17
1686,Frangelico,38
1687,Container Clear 8 Oz,59
1688,Irish Cream - Butterscotch,14
1689,Cloves - Ground,24
1690,Tea - Green,41
1691,"Beef - Baby, Liver",90
1692,Shrimp - Black Tiger 26/30,58
1693,Pate - Peppercorn,43
1694,Shrimp - Black Tiger 26/30,29
1695,Coconut - Whole,98
1696,"Water - Spring Water, 355 Ml",6
1697,Pork Loin Cutlets,57
1698,"Sparkling Wine - Rose, Freixenet",52
1699,"Crab - Dungeness, Whole",75
1700,"Onions - Dried, Chopped",31
1701,Paste - Black Olive,30
1702,Cheese Cheddar Processed,77
1703,Wine - Shiraz Wolf Blass Premium,83
1704,"Pork - Bacon, Sliced",19
1705,Cookie Trail Mix,87
1706,Zucchini - Green,78
1707,Nantucket - 518ml,48
1708,"Chicken - White Meat, No Tender",84
1709,Lotus Leaves,1
1710,Cream - 10%,92
1711,Caviar - Salmon,77
1712,Pike - Frozen Fillet,55
1713,"Yogurt - Peach, 175 Gr",49
1714,Pork - Smoked Kassler,91
1715,Lamb Tenderloin Nz Fr,25
1716,Lettuce - Green Leaf,17
1717,Plasticknivesblack,2
1718,Tea - English Breakfast,88
1719,Milk - Chocolate 250 Ml,87
1720,"Soup - Knorr, Country Bean",68
1721,Bandage - Finger Cots,27
1722,Langers - Ruby Red Grapfruit,80
1723,Coffee - Cafe Moreno,79
1724,Crackers - Melba Toast,20
1725,Wine - Prosecco Valdobienne,38
1726,Sultanas,79
1727,Quail Eggs - Canned,100
1728,Pepper - Scotch Bonnet,6
1729,Sprouts Dikon,99
1730,Arizona - Plum Green Tea,64
1731,"Ham - Smoked, Bone - In",97
1732,Beer - Mill St Organic,82
1733,Sugar - Monocystal / Rock,37
1734,Lamb - Sausage Casings,15
1735,Smoked Paprika,66
1736,Lettuce - Belgian Endive,75
1737,Vector Energy Bar,52
1738,Wood Chips - Regular,98
1739,Cocoa Powder - Natural,44
1740,Wine - Tio Pepe Sherry Fino,77
1741,Wine - Pinot Noir Mondavi Coastal,44
1742,Chocolate Eclairs,58
1743,"Pasta - Penne, Lisce, Dry",67
1744,Wakami Seaweed,20
1745,Cheese - Colby,73
1746,Pork Loin Bine - In Frenched,55
1747,Plaintain,17
1748,Mace,87
1749,"Ecolab - Orange Frc, Cleaner",53
1750,Magnotta Bel Paese Red,79
1751,Nut - Pumpkin Seeds,95
1752,Oil - Pumpkinseed,100
1753,Red Currants,15
1754,Nut - Macadamia,41
1755,Chips - Assorted,71
1756,Corn Kernels - Frozen,38
1757,Vacuum Bags 12x16,53
1758,Bread - Rye,43
1759,Sea Bass - Whole,67
1760,"Melon - Watermelon, Seedless",57
1761,Beer - Mcauslan Apricot,39
1762,"Pepper - White, Whole",52
1763,Buffalo - Tenderloin,15
1764,Chips Potato Reg 43g,49
1765,Plastic Arrow Stir Stick,72
1766,Milkettes - 2%,34
1767,Fib N9 - Prague Powder,60
1768,Soup Campbells Split Pea And Ham,66
1769,Pork Salted Bellies,87
1770,Lambcasing,22
1771,Paste - Black Olive,67
1772,Dry Ice,55
1773,Bread - French Baquette,85
1774,Rice - Brown,44
1775,Bowl 12 Oz - Showcase 92012,6
1776,"Shrimp, Dried, Small / Lb",97
1777,Mince Meat - Filling,87
1778,Island Oasis - Banana Daiquiri,15
1779,Rosemary - Fresh,36
1780,Cookies - Englishbay Wht,80
1781,Pie Shell - 5,19
1782,Pepper - Jalapeno,42
1783,Muffins - Assorted,100
